"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","186596100","37952200","63733300","19312100","1659700","553500","16271700","326078600","1"
"California","12684400","1910700","15480200","5934000","97600","128600","1902600","38138100"
"New York","10066500","2505000","3783100","1714400","36600","5000","937800","19048400"
"Texas","11546600","3513700","11912000","1673500","43200","32600","1073800","29795500"
"New Jersey","4620500","1082200","2072000","932600","7700","N/A","407400","9124100"
"Washington","4770600","286500","1109400","757300","60100","51700","591900","7627500"
"Illinois","7107900","1568200","2336900","731700","11700","N/A","493000","12252700"
"Florida","11095100","3126300","6099400","650300","19900","13500","1071400","22076000"
"Virginia","4882300","1499800","925400","585600","10100","N/A","466200","8373000"
"Hawaii","270300","18600","134500","499400","N/A","121700","320800","1366300"
"Massachusetts","4484900","440300","917900","486600","4500","N/A","439400","6775600"
"Georgia","5229400","3255400","1193100","484900","14900","8900","533700","10720100"
"Pennsylvania","9144200","1243100","1111200","484800","6500","N/A","535500","12527800"
"Maryland","2793700","1730700","761800","397300","5900","N/A","323300","6014600"
"North Carolina","6277300","2075700","1196100","345300","86900","2500","499600","10483400"
"Michigan","7130800","1272300","583400","326100","31800","N/A","474200","9821800"
"Minnesota","4250100","384200","357100","290200","36100","N/A","292800","5614900"
"Ohio","8694500","1343700","549100","287900","8700","N/A","576300","11464600"
"Nevada","1393100","271600","942800","284400","18100","22000","207500","3139600"
"Arizona","3794300","318500","2296000","256000","223700","13100","351400","7252900"
"Oregon","2949200","80000","619100","186900","25300","14700","281200","4156400"
"Colorado","3702100","205600","1300000","185400","18000","8200","305200","5724600"
"Indiana","5014000","579300","583900","174800","6000","N/A","302200","6663600"
"Wisconsin","4543700","331000","467900","170300","30500","N/A","230800","5775600"
"Connecticut","2158500","343400","658000","166800","3000","N/A","182100","3514700"
"Tennessee","4960200","1041000","519200","122800","6200","N/A","299600","6951900"
"Missouri","4622000","632600","314900","120900","10600","8300","306800","6016000"
"South Carolina","3229200","1247800","382900","90300","8900","N/A","241400","5205000"
"Oklahoma","2425100","250400","505700","88200","261500","N/A","384500","3917700"
"Utah","2502600","34200","537200","83900","21900","30800","146900","3357600"
"Alabama","3144100","1237600","284500","76800","12800","N/A","187400","4945200"
"Louisiana","2479700","1322000","314000","75600","22000","N/A","216300","4430700"
"Kansas","2071400","135900","387700","73900","12500","N/A","150000","2835800"
"Iowa","2566100","111600","229200","72600","5800","6600","114300","3106200"
"Kentucky","3599200","313100","211600","61800","4500","2300","201100","4393500"
"Nebraska","1446700","80600","249400","50700","9000","N/A","87600","1924500"
"Arkansas","2000100","418800","272900","49900","11300","11500","209100","2973600"
"Delaware","583300","213200","111700","42800","1000","N/A","50700","1002900"
"Alaska","402300","16400","51600","42700","98900","10100","78400","700500"
"New Hampshire","1178100","17000","61200","35700","N/A","N/A","67200","1361400"
"New Mexico","744300","33800","1003600","34900","170300","N/A","73400","2062400"
"Rhode Island","711100","48800","192000","33600","N/A","N/A","65600","1052400"
"Idaho","1496500","14700","264500","26300","12800","N/A","92700","1910000"
"Mississippi","1563600","1005100","103100","25500","11100","N/A","123400","2833500"
"District of Columbia","237000","264000","79200","24600","N/A","N/A","40400","646000"
"South Dakota","708100","21600","44500","14900","61000","N/A","38500","889100"
"Maine","1220500","24900","28500","12600","5000","N/A","63300","1355600"
"West Virginia","1545800","45100","34500","12100","N/A","N/A","74900","1713600"
"North Dakota","607800","19600","33000","10200","33600","N/A","40100","744500"
"Vermont","556400","8100","15100","9900","N/A","N/A","32800","623400"
"Montana","927900","5100","50600","8600","56800","N/A","56300","1105600"
"Wyoming","462900","3400","60600","3400","8900","N/A","28700","568000"
"Puerto Rico","19300","3400","3145400","N/A","N/A","N/A","6000","3176900"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
